-5.850945949554443,2.7705633640289307,-1.680489182472229;  393.8251082897186,697.7329975366592
-5.850945949554443,2.7705633640289307,-1.7081365585327148;  393.8251082897186,691.6084313392639
-5.856865406036377,2.7693002223968506,-1.6927353143692017;  392.7498013973236,694.9208796024323
-5.873495101928711,2.7657618522644043,-1.6486514806747437;  389.7276188135147,704.4177806377411
-5.899113655090332,2.7603423595428467,-1.5790648460388184;  385.06875371932983,719.4497573375702
-5.931984901428223,2.7534425258636475,-1.4871560335159302;  379.08509373664856,739.3741929531097
-5.970371246337891,2.7454586029052734,-1.3761053085327148;  372.08893167972565,763.5483431816101
-6.0125579833984375,2.7367725372314453,-1.2490928173065186;  364.3890609741211,791.3232773542404
-6.056858539581299,2.727745294570923,-1.109300136566162;  356.29051780700684,822.0389676094055
-6.101628303527832,2.7187130451202393,-0.9599074125289917;  348.0918552875519,855.0219291448593
-6.145270347595215,2.7099905014038086,-0.8040950894355774;  340.084885597229,889.5837533473969
-6.186234474182129,2.701871395111084,-0.6450425982475281;  332.5554167032242,925.0207889080048
-6.223014831542969,2.6946322917938232,-0.485929012298584;  325.78251564502716,960.6145882606506
-6.254142761230469,2.6885406970977783,-0.3299322724342346;  320.04108703136444,995.6339484453201
-6.278172492980957,2.6838579177856445,-0.18022948503494263;  315.6024624109268,1029.3361228704453
-6.2936625480651855,2.6808478832244873,-0.03999795764684677;  312.73826801776886,1060.96988260746
-6.299156665802002,2.679781675338745,0.08758547902107239;  311.72178769111633,1089.7787690162659
-6.299156665802002,2.679781675338745,0.20118755102157593;  311.72178769111633,1115.4324173927307
-6.299156665802002,2.679781675338745,0.30176159739494324;  311.72178769111633,1138.1440341472626
-6.299156665802002,2.679781675338745,0.3895595967769623;  311.72178769111633,1157.9706358909607
-6.299156665802002,2.679781675338745,0.4648335874080658;  311.72178769111633,1174.9691116809845
-6.299156665802002,2.679781675338745,0.5278356075286865;  311.72178769111633,1189.1962230205536
-6.299156665802002,2.679781675338745,0.57881760597229;  311.72178769111633,1200.7089865207672
-6.299156665802002,2.679781675338745,0.6180315017700195;  311.72178769111633,1209.5642912387848
-6.299156665802002,2.679781675338745,0.6457295417785645;  311.72178769111633,1215.8190262317657
-6.299156665802002,2.679781675338745,0.662163496017456;  311.72178769111633,1219.5302081108093
-6.299156665802002,2.679781675338745,0.6675854921340942;  311.72178769111633,1220.7545983791351
-6.298961639404297,2.6785826683044434,0.6426425576210022;  311.5134451389313,1215.1591897010803
-6.298321723937988,2.675114870071411,0.5724329948425293;  310.92182743549347,1199.3962013721466
-6.297097682952881,2.669577121734619,0.4638844132423401;  310.0046560764313,1174.983652830124
-6.295111656188965,2.6621744632720947,0.32392600178718567;  308.8269828557968,1143.425532579422
-6.292181015014648,2.653113842010498,0.15949654579162598;  307.45398849248886,1106.224170923233
-6.288151741027832,2.64260196685791,-0.022454597055912018;  305.94746482372284,1064.8888498544693
-6.282916069030762,2.630842685699463,-0.21496731042861938;  304.3621864914894,1020.9431374073029
-6.276435375213623,2.6180319786071777,-0.4110753536224365;  302.7413249015808,975.9297347068787
-6.268746852874756,2.6043541431427,-0.6038098931312561;  301.1155825853348,931.4139199256897
-6.2599663734436035,2.5899770259857178,-0.7862100005149841;  299.50081729888916,888.984249830246
-6.250283241271973,2.5750482082366943,-0.9513258934020996;  297.8982998728752,850.2534526586533
-6.2399492263793945,2.559694766998291,-1.0922268629074097;  296.29572719335556,816.8572163581848
-6.229258060455322,2.5440244674682617,-1.2020021677017212;  294.67066633701324,790.4541248083115
